,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Barcelos,0,BR,1566660847,51,-0.97,-62.93,91.08,3.22
1,Jamestown,0,AU,1566660879,94,-33.21,138.6,39.78,5.14
2,Ushuaia,40,AR,1566660853,65,-54.81,-68.31,46.4,3.36
3,Albany,40,US,1566660881,60,42.65,-73.75,70.0,9.17
4,East London,0,ZA,1566660882,44,-33.02,27.91,75.2,3.36
5,Kodiak,75,US,1566660883,73,39.95,-94.76,72.0,11.41
6,Barrow,100,AR,1566660884,55,-38.31,-60.23,59.94,14.29
7,Baghdad,0,IQ,1566660886,16,33.3,44.38,109.4,4.7
8,San Patricio,0,PY,1566660887,54,-26.98,-56.83,71.28,5.08
9,Cayenne,20,GF,1566660888,59,4.94,-52.33,89.6,6.93
10,Kapaa,90,US,1566660889,74,22.08,-159.32,80.6,17.22
11,Nikolskoye,75,RU,1566660890,63,59.7,30.79,64.4,17.9
12,Hobart,75,AU,1566660891,65,-42.88,147.33,44.6,11.41
13,Nanortalik,100,GL,1566660893,65,60.14,-45.24,46.08,10.42
14,Qom,0,IR,1566660894,10,34.64,50.88,83.16,7.25
15,Vaini,20,IN,1566660877,88,15.34,74.49,75.2,5.82
16,Bafq,0,IR,1566660896,11,31.6,55.4,78.66,11.99
17,Puerto Ayora,40,EC,1566660897,69,-0.74,-90.35,75.2,10.29
18,Rikitea,100,PF,1566660898,71,-23.12,-134.97,69.12,20.42
19,Kaitangata,57,NZ,1566660899,69,-46.28,169.85,44.01,1.99
20,Kavieng,94,PG,1566660901,76,-2.57,150.8,82.8,10.42
21,New Norfolk,75,AU,1566660902,65,-42.78,147.06,44.6,11.41
22,Pandharpur,34,IN,1566660903,73,17.68,75.33,77.4,15.5
23,Hilo,90,US,1566660904,64,19.71,-155.08,75.2,5.82
24,Yellowknife,90,CA,1566660905,87,62.45,-114.38,51.8,5.82
25,Kuruman,0,ZA,1566660907,11,-27.46,23.43,77.0,7.63
26,San Miguel,0,AR,1566660908,63,-34.54,-58.72,64.0,10.29
27,Yilan,32,CN,1566660909,94,43.11,129.52,56.7,2.1
28,Mataura,97,NZ,1566660910,83,-46.19,168.86,44.01,1.99
29,Khor,6,RU,1566660911,93,47.88,134.96,52.74,5.01
30,Gornopravdinsk,100,RU,1566660912,85,60.06,69.92,53.46,13.65
31,Severo-Kurilsk,100,RU,1566660914,90,50.68,156.12,48.06,21.54
32,Roebourne,0,AU,1566660915,64,-20.77,117.15,64.98,7.85
33,Cherskiy,3,RU,1566660916,51,68.75,161.3,53.28,4.74
34,Hamilton,20,CA,1566660876,63,43.26,-79.87,71.01,10.29
35,Upernavik,43,GL,1566660918,64,72.79,-56.15,42.48,8.9
36,Stromness,20,CA,1566660922,63,42.87,-79.55,70.0,10.29
37,Atuona,7,PF,1566660923,72,-9.8,-139.03,78.3,14.81
38,Guane,94,CU,1566660925,74,22.2,-84.09,83.34,2.3
39,Thompson,90,CA,1566660926,88,55.74,-97.86,62.6,5.82
40,Rio Gallegos,40,AR,1566660927,53,-51.62,-69.22,50.0,10.29
41,Oktyabrskoye,20,RU,1566660928,82,56.73,85.44,64.99,8.95
42,Quatre Cocos,75,MU,1566660929,78,-20.21,57.76,71.6,14.99
43,Busselton,100,AU,1566660930,56,-33.64,115.35,50.0,15.17
44,Tiksi,100,RU,1566660857,98,71.64,128.87,48.42,1.48
45,Lakatoro,54,VU,1566660933,70,-16.11,167.42,72.36,11.63
46,Berovo,62,MK,1566660934,36,41.71,22.85,96.01,3.0
47,Itupiranga,40,BR,1566660935,52,-5.13,-49.33,91.4,5.82
48,College,90,US,1566660936,100,64.86,-147.8,43.0,1.16
49,Dikson,100,RU,1566660937,96,73.51,80.55,41.58,15.97
50,Cape Town,0,ZA,1566660938,32,-33.93,18.42,69.8,18.34
51,Hithadhoo,100,MV,1566660880,68,-0.6,73.08,83.52,9.73
52,Akdepe,0,TM,1566660941,26,42.05,59.39,84.2,6.93
53,Hasaki,75,JP,1566660942,94,35.73,140.83,75.2,3.36
54,Touros,40,BR,1566660943,58,-5.2,-35.46,86.0,13.87
55,Zeya,9,RU,1566660944,88,53.74,127.27,52.56,1.99
56,Kruisfontein,0,ZA,1566660945,43,-34.0,24.73,70.02,8.12
57,Poretskoye,25,RU,1566660946,71,55.2,46.33,64.8,5.28
58,Sitka,56,US,1566660948,84,37.17,-99.65,73.0,11.01
59,Punta Arenas,75,CL,1566660949,100,-53.16,-70.91,42.8,5.82
60,Port Elizabeth,1,US,1566660950,53,39.31,-74.98,75.99,13.87
61,Hermanus,0,ZA,1566660927,84,-34.42,19.24,64.0,4.0
62,Bredasdorp,0,ZA,1566660952,56,-34.53,20.04,71.6,6.93
63,Bay Roberts,90,CA,1566660953,76,47.58,-53.28,57.99,16.11
64,Port Alfred,0,ZA,1566660954,82,-33.59,26.89,66.99,2.86
65,Chokurdakh,88,RU,1566660956,64,70.62,147.9,54.72,5.77
66,Codrington,0,AU,1566660957,93,-28.95,153.24,55.4,5.82
67,Ilulissat,5,GL,1566660958,48,69.22,-51.1,42.8,9.17
68,San Luis,23,AR,1566660959,31,-33.3,-66.34,70.74,5.64
69,Saskylakh,77,RU,1566660960,88,71.97,114.09,46.98,5.23
70,Phonhong,75,LA,1566660962,94,18.5,102.42,82.4,6.93
71,Yokadouma,98,CM,1566660963,84,3.52,15.05,76.68,3.09
72,Abonnema,100,NG,1566660964,86,4.71,6.79,75.78,11.07
73,Dejen,9,ET,1566660966,83,10.16,38.15,70.56,2.71
74,Vostok,60,RU,1566660967,98,46.45,135.83,47.88,0.74
75,Shimoda,95,JP,1566660968,3,34.7,138.93,80.01,1.01
76,Aklavik,75,CA,1566660969,80,68.22,-135.01,39.2,4.7
77,Souillac,0,FR,1566660970,23,45.6,-0.6,96.01,4.7
78,Iqaluit,75,CA,1566660971,75,63.75,-68.52,44.6,6.93
79,Kavaratti,100,IN,1566660973,81,10.57,72.64,82.08,18.25
80,Drezdenko,0,PL,1566660974,43,52.84,15.83,79.56,9.71
81,Brumunddal,99,NO,1566660975,78,60.89,10.94,60.01,5.01
82,Ponta do Sol,0,BR,1566660976,30,-20.63,-46.0,76.32,3.67
83,Broome,0,GB,1566660977,39,52.47,1.45,82.99,10.29
84,Tuatapere,73,NZ,1566660978,83,-46.13,167.69,44.01,1.99
85,Kahului,1,US,1566660979,73,20.89,-156.47,75.99,6.93
86,Cabo San Lucas,40,MX,1566660919,94,22.89,-109.91,84.99,5.82
87,Cidreira,17,BR,1566660982,54,-30.17,-50.22,64.08,9.31
88,Yulara,0,AU,1566660983,35,-25.24,130.99,55.4,8.05
89,Ancud,90,CL,1566660984,87,-41.87,-73.83,48.2,9.17
90,Sensuntepeque,20,SV,1566660985,69,13.88,-88.63,87.8,3.36
91,San Quintin,100,PH,1566660987,88,17.54,120.52,75.6,5.21
92,Hasanabad,0,IR,1566660988,8,35.37,51.24,96.8,6.93
93,Sur,0,OM,1566660989,57,22.57,59.53,85.86,5.08
94,Tvoroyri,99,FO,1566660990,100,61.56,-6.81,51.8,11.41
95,Dicabisagan,100,PH,1566660991,81,17.08,122.42,77.22,4.7
96,Staraya Kulatka,0,RU,1566660992,60,52.73,47.62,66.96,4.72
97,Saint-Philippe,90,CA,1566660993,68,45.36,-73.48,70.0,6.93
98,Bethel,1,US,1566660995,93,60.79,-161.76,48.2,8.05
99,Carnarvon,0,ZA,1566660996,12,-30.97,22.13,75.42,19.57
100,Peoria,1,US,1566660997,60,40.69,-89.59,73.0,8.05
101,Exeter,0,GB,1566660998,50,50.73,-3.53,84.2,13.87
102,Chunskiy,0,RU,1566660999,89,56.08,99.63,50.4,2.19
103,Mathbaria,100,BD,1566661000,93,22.29,89.96,79.2,5.06
104,Victoria,75,BN,1566660815,83,5.28,115.24,84.2,9.46
105,Alta Floresta,92,BR,1566661003,46,-9.87,-56.08,91.4,4.7
106,Butaritari,56,KI,1566660867,73,3.07,172.79,83.7,5.86
107,Bocanda,97,CI,1566661005,80,7.06,-4.5,81.36,5.53
108,Monrovia,75,LR,1566661006,88,6.33,-10.8,80.6,6.93
109,Charyshskoye,52,RU,1566661007,84,51.4,83.56,52.56,4.81
110,Conceicao do Mato Dentro,100,BR,1566661009,71,-19.04,-43.42,67.5,2.89
111,Vilhena,38,BR,1566661010,45,-12.74,-60.15,86.0,16.11
112,Galveston,1,US,1566661011,52,40.58,-86.19,70.0,8.05
113,Bluff,0,AU,1566661012,82,-23.58,149.07,55.08,6.85
114,Grindavik,20,IS,1566661013,76,63.84,-22.43,55.4,8.05
115,Arraial do Cabo,40,BR,1566661014,57,-22.97,-42.02,75.2,3.36
116,Caravelas,100,BR,1566661015,67,-17.73,-39.27,75.42,5.14
117,Rabat,0,MA,1566661017,65,34.02,-6.83,93.0,6.93
118,Longyearbyen,75,NO,1566661018,95,78.22,15.63,41.0,10.29
119,Ust-Kulom,98,RU,1566661019,88,61.69,53.69,55.26,3.36
120,Stephenville,75,CA,1566661020,67,48.55,-58.59,60.8,13.87
121,Longview,75,US,1566660787,78,32.5,-94.74,86.0,5.82
122,Cabedelo,75,BR,1566661022,74,-6.97,-34.84,82.4,14.99
123,Orlik,0,PL,1566661024,50,53.95,17.74,81.0,13.87
124,Key West,1,US,1566660871,68,47.93,-96.78,73.4,16.11
125,Yaan,100,NG,1566661026,87,7.38,8.57,77.76,2.39
126,Kokopo,100,PG,1566661027,97,-4.34,152.27,69.12,2.59
127,Kiunga,23,PG,1566661028,99,-6.12,141.3,70.38,3.18
128,Muhos,0,FI,1566661029,63,64.81,26.0,62.6,13.87
129,Flinders,0,AU,1566661031,46,-34.58,150.85,60.01,2.24
130,Richards Bay,0,ZA,1566660879,68,-28.77,32.06,73.44,25.52
131,Podor,0,MR,1566661033,28,16.65,-14.96,97.38,15.61
132,Tarui,75,JP,1566661034,74,35.37,136.53,78.8,17.22
133,Antofagasta,20,CL,1566661035,67,-23.65,-70.4,59.0,6.93
134,Manati,20,AL,1566661036,38,41.76,19.67,93.2,2.24
135,San Joaquin,100,PH,1566661038,93,10.59,122.14,77.04,3.09
136,Walvis Bay,0,NA,1566661042,9,-22.95,14.51,114.8,14.99
137,Praia da Vitoria,20,PT,1566661043,69,38.73,-27.07,75.2,13.02
138,Sioux Lookout,75,CA,1566661044,68,50.1,-91.92,64.4,6.93
139,Port Keats,100,AU,1566661045,49,-14.25,129.55,67.68,3.74
140,Pangnirtung,90,CA,1566661046,93,66.15,-65.72,46.4,12.75
141,Lerwick,0,GB,1566661047,82,60.15,-1.15,64.4,11.41
142,Cascais,0,PT,1566661049,32,38.7,-9.42,89.6,19.46
143,Qaanaaq,91,GL,1566661050,59,77.48,-69.36,37.98,18.61
144,Lebu,75,ET,1566661051,72,8.96,38.73,62.6,4.7
145,Lavrentiya,77,RU,1566661052,88,65.58,-170.99,40.5,4.32
146,Sinnamary,69,GF,1566661053,71,5.38,-52.96,82.98,10.04
147,Lompoc,90,US,1566661054,87,34.64,-120.46,69.01,3.67
148,Vila Velha,20,BR,1566660975,45,-3.71,-38.6,87.8,21.92
149,Tura,99,RU,1566661057,59,64.27,100.22,59.94,4.07
150,Lazaro Cardenas,90,MX,1566661058,73,28.39,-105.62,71.6,5.82
151,Bhalki,93,IN,1566661059,86,18.04,77.21,73.98,4.85
152,Sao Filipe,62,CV,1566661060,81,14.9,-24.5,78.66,12.68
153,Nouadhibou,32,MR,1566661061,73,20.93,-17.03,77.0,11.41
154,Ati,56,TD,1566661062,55,13.21,18.34,87.3,8.57
155,Los Llanos de Aridane,20,ES,1566661064,74,28.66,-17.92,79.0,17.22
156,Pacific Grove,90,US,1566661065,77,36.62,-121.92,66.99,2.15
157,Torbay,90,CA,1566661066,76,47.66,-52.73,57.99,16.11
158,Cururupu,44,BR,1566661067,60,-1.82,-44.87,86.58,7.45
159,Zhezkazgan,0,KZ,1566661068,22,47.8,67.71,75.2,4.47
160,Luderitz,0,NA,1566661069,14,-26.65,15.16,89.6,10.29
161,Burns Lake,59,CA,1566661071,91,54.23,-125.76,45.72,5.41
162,Moose Factory,1,CA,1566661072,68,51.26,-80.61,64.4,6.93
163,Castro,90,CL,1566661073,87,-42.48,-73.76,48.2,9.17
164,Makat,76,KZ,1566661074,16,47.65,53.35,92.16,6.02
165,Sao Mateus do Sul,100,BR,1566661075,60,-25.87,-50.38,61.74,2.68
166,Saint-Leu,75,RE,1566661076,83,-21.15,55.28,71.6,16.11
167,Yumbe,34,UG,1566661078,89,3.47,31.25,72.72,4.36
168,Lethem,23,GY,1566661079,58,3.38,-59.8,87.66,10.31
169,Dalvik,37,SE,1566661080,64,57.79,14.13,75.0,3.36
170,Ribeira Grande,20,PT,1566661081,53,38.52,-28.7,77.0,17.22
171,Saint-Francois,0,FR,1566661082,19,46.42,3.91,89.6,2.24
172,Krasnoshchekovo,80,RU,1566661083,61,51.67,82.73,62.82,0.47
173,Lexington,1,US,1566661039,60,38.05,-84.5,73.99,11.41
174,Coquimbo,90,CL,1566661086,81,-29.95,-71.34,53.6,9.17
175,Brazzaville,90,CD,1566661087,65,-4.27,15.27,77.0,6.93
176,Pouembout,25,NC,1566661088,69,-21.12,164.9,66.24,11.65
177,Faya,75,SA,1566661089,36,18.39,42.45,77.0,4.7
178,Tommot,83,RU,1566661090,93,58.97,126.27,53.82,2.13
179,Harrison,1,US,1566661003,49,39.26,-84.82,73.99,11.41
180,Nemuro,15,JP,1566661093,96,43.32,145.57,60.3,1.36
181,Aksu,0,KZ,1566661094,68,52.04,76.93,64.4,8.95
182,Hay River,40,CA,1566661095,93,60.82,-115.79,51.8,2.24
183,Khatanga,98,RU,1566661096,85,71.98,102.47,55.8,7.34
184,Luanda,75,AO,1566660980,83,-8.83,13.24,75.2,10.29
185,Murgab,0,TM,1566661098,15,37.5,61.97,87.8,6.93
186,Ambon,0,FR,1566661100,39,47.55,-2.56,84.2,10.29
187,Lorengau,99,PG,1566661101,81,-2.02,147.27,80.64,9.48
188,Provideniya,0,RU,1566661102,79,64.42,-173.23,45.0,2.71
189,Ballina,75,IE,1566661103,88,54.11,-9.15,66.0,2.24
190,Poum,40,MK,1566661104,35,41.28,20.71,84.2,3.36
191,Aguimes,20,ES,1566661105,65,27.91,-15.45,82.4,28.86
192,Meulaboh,100,ID,1566661107,86,4.14,96.13,77.94,11.27
193,Songea,20,TZ,1566661108,39,-10.68,35.65,78.8,5.82
194,Gasa,99,BT,1566661109,92,27.91,89.73,41.04,5.91
195,Itarema,0,BR,1566661110,32,-2.92,-39.92,93.42,12.41
196,Chuy,38,UY,1566661111,71,-33.69,-53.46,55.08,5.59
197,Saint George,20,GR,1566660903,31,39.45,22.34,93.2,11.41
198,Sisimiut,0,GL,1566661114,72,66.94,-53.67,43.74,9.71
199,Pevek,47,RU,1566661115,79,69.7,170.27,41.94,1.28
200,Saint-Augustin,75,CA,1566661116,68,45.63,-73.98,71.01,3.36
201,Cangucu,40,BR,1566661117,82,-31.39,-52.68,61.0,4.7
202,Grootfontein,0,NA,1566661118,10,-19.56,18.1,78.8,13.87
203,Boysun,48,UZ,1566661122,44,38.2,67.2,54.54,3.09
204,Cairns,6,AU,1566661124,82,-16.92,145.77,64.4,8.05
205,Jangaon,100,IN,1566661125,66,17.72,79.16,71.82,11.77
206,Vvedenskoye,0,RU,1566661126,43,55.29,38.01,75.0,11.18
207,Ngunguru,86,NZ,1566661127,78,-35.62,174.5,52.0,5.99
208,Nome,75,US,1566661128,78,30.04,-94.42,84.99,8.05
209,Waipawa,0,NZ,1566661129,80,-39.94,176.59,46.99,4.0
210,Ifanadiana,63,MG,1566661130,97,-21.3,47.64,59.94,2.84
211,Atikokan,100,CA,1566661132,65,48.76,-91.62,64.44,9.33
212,Thunder Bay,75,CA,1566661099,100,48.41,-89.26,66.99,2.24
213,Beloha,0,MG,1566661134,73,-25.17,45.06,66.42,15.52
214,Atar,25,MR,1566661135,26,20.52,-13.05,101.7,15.43
215,Ahipara,100,NZ,1566661102,100,-35.17,173.16,51.01,1.01
216,Faanui,61,PF,1566661137,72,-16.48,-151.75,77.58,7.85
217,Miraflores,20,PE,1566661139,14,-16.39,-71.52,69.8,6.93
218,Pala,87,TD,1566661140,78,9.37,14.91,79.2,6.31
219,Mezhdurechensk,31,RU,1566661141,97,53.69,88.07,50.22,2.73
220,Buala,100,SB,1566661142,83,-8.15,159.59,79.74,11.05
221,Laguna,40,BZ,1566661066,82,16.17,-88.94,68.0,0.94
222,Guasdualito,75,VE,1566661144,83,7.24,-70.73,82.4,5.82
223,Fairbanks,90,US,1566661145,100,64.84,-147.72,43.0,1.16
224,Anori,26,BR,1566661147,45,-3.74,-61.66,93.6,3.44
225,Caxito,75,BR,1566661148,68,-22.65,-42.51,75.2,5.82
226,Galesong,20,ID,1566661149,83,-5.32,119.37,77.0,3.36
227,Christchurch,0,NZ,1566661150,87,-43.53,172.64,39.0,2.24
228,Sao Joao de Pirabas,99,BR,1566661151,68,-0.77,-47.18,84.24,5.59
229,Lardos,0,GR,1566661152,74,36.09,28.02,87.01,14.99
230,Kajaani,90,FI,1566661153,87,64.22,27.73,57.2,6.93
231,Namatanai,100,PG,1566661155,86,-3.66,152.44,78.48,14.9
232,Hailey,5,US,1566661156,58,43.52,-114.32,63.0,9.17
233,Airai,62,TL,1566661157,80,-8.93,125.41,66.78,5.08
234,Liwale,100,TZ,1566661158,57,-9.8,37.92,71.28,8.41
235,Baymak,100,RU,1566661159,66,52.6,58.31,59.04,3.94
236,Pasighat,44,IN,1566661160,71,28.06,95.33,75.06,1.88
237,Ostrovnoy,100,RU,1566661161,84,68.05,39.51,45.72,12.57
238,Burias,100,PH,1566661163,90,11.45,122.55,75.6,2.62
239,High Level,75,CA,1566661164,87,58.52,-117.13,51.8,3.36
240,Rio Grande,40,BR,1566661023,82,-32.03,-52.1,61.0,4.7
241,Teavaro,0,PF,1566661166,83,-17.5,-149.77,71.6,3.36
242,Shingu,100,JP,1566661167,98,33.72,135.99,65.16,1.66
243,Camacari,40,BR,1566661168,69,-12.7,-38.32,80.6,12.75
244,Beyneu,9,KZ,1566661169,14,45.32,55.19,87.48,8.14
245,Bambous Virieux,75,MU,1566661171,78,-20.34,57.76,71.6,14.99
246,Avarua,15,CK,1566661172,88,-21.21,-159.78,69.8,2.24
247,Brae,100,GB,1566661173,82,60.4,-1.35,62.6,16.11
248,Japura,63,ID,1566661174,65,-0.42,102.29,78.3,1.95
249,Bonavista,100,CA,1566661175,86,48.65,-53.11,54.0,8.01
250,Yar-Sale,100,RU,1566661177,65,66.83,70.83,49.68,21.25
251,Murmashi,75,RU,1566661178,71,68.82,32.82,50.0,6.71
252,Petropavlovsk-Kamchatskiy,75,RU,1566661179,93,53.05,158.65,50.0,4.47
253,Proletariy,20,RU,1566661180,55,58.43,31.7,67.5,8.66
254,Mar del Plata,66,AR,1566661181,47,-46.43,-67.52,54.18,24.56
255,Vardo,1,US,1566661182,53,39.62,-77.74,73.99,8.05
256,Vestmannaeyjar,20,IS,1566661183,87,63.44,-20.27,55.4,18.34
257,Sistranda,75,NO,1566661185,82,63.73,8.83,64.0,6.93
258,Esperance,75,AU,1566661113,75,-33.86,121.89,46.4,5.82
259,Bandarbeyla,100,SO,1566661187,42,9.49,50.81,88.74,21.88
260,Pokhara,99,NP,1566661175,98,28.21,83.99,57.42,1.68
261,Porto-Vecchio,0,FR,1566661189,54,41.59,9.28,84.2,9.17
262,General Roca,0,AR,1566661190,66,-39.03,-67.58,55.4,3.36
263,Gunjur,75,GM,1566661192,79,13.18,-16.76,86.0,6.93
264,Bichura,75,RU,1566661193,97,50.59,107.6,56.88,3.71
265,Kedrovyy,40,RU,1566661194,93,56.17,91.82,59.0,8.95
266,At-Bashi,70,KG,1566661195,40,41.17,75.81,57.6,6.98
267,Alofi,0,NU,1566661118,94,-19.06,-169.92,75.2,6.93
268,Mahebourg,75,MU,1566660952,78,-20.41,57.7,71.6,14.99
269,Fort Nelson,75,CA,1566661137,87,58.81,-122.69,46.4,0.67
270,Taraz,0,KZ,1566661199,29,42.89,71.39,77.0,13.42
271,Tuktoyaktuk,75,CA,1566661042,75,69.44,-133.03,35.6,10.29
